track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,Kill Bill,Kill Bill (Official Video),SZA,1/10/2023,USRV82300033,"4,291",20.3,"1,873,746,537",1,1,,,,,,,,,,,,,,,,,,,0
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3,Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,KSA012239181,229,102.3,"861,388,470","103,040","37,365,896",48.0,"15,219,067","176,594","2,107,181","407,118,298","4,388,576,830",,110.0,"152,024",624,34.0,"336,049",77.0,"21,156,145","21,450",,"5,114,752",,0
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,80,227,95,24,"1,173",78,,Major,44,14,9,96,0,10,3,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,"891,720,245","114,560","97,542,546",82.0,"144,741,616","2,761,964","1,443,103","498,822,693","3,998,086,216","1,384,310,160",168.0,"275,119",68,108.0,"10,920,686",111.0,"39,374,594","19,921","5,418,596","4,476,509",,0
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,43,100,54,14,187,100,B,Major,86,67,66,14,0,12,16,Classy 101,Classy 101,Feid,3/31/2023,USUM72304895,195,109.1,"872,148,396","90,726","70,485,920",78.0,"477,047,694","1,887,642","459,540","102,272,836","1,113,541,743","1,850,185,458",94.0,"46,835",186,50.0,"12,249,404",55.0,"11,049,774","3,399",,"1,625,704",,1
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4,Like Crazy,FACE,Jimin,3/24/2023,USA2P2251865,"1,308",41.1,"1,165,398,518","16,425","22,818,507",84.0,"139,608,215","4,239,579","20,340","5,827,931","25,133,495","252,370,542",20.0,"7,682",12,38.0,"10,012,693",2.0,"34,061,208","1,010",,"830,091",,0
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4,LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,QM7282306246,212,105.2,"684,204,777","48,370","25,130,304",78.0,"362,779,953","1,617,493","777,100","112,400,175","1,207,597,707","297,822,969",51.0,"4,811",27,22.0,"13,901,598",32.0,"21,933,646","13,520","5,928,532","1,567,605",,1
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Speak Now (Taylor's Version),Taylor Swift,7/7/2023,USUG12302091,"2,673",27.3,"247,056,218","19,231","16,723,973",69.0,"41,065,721","1,260,603","139,100","34,732,272","386,594,049","756,308,958",30.0,"21,779",3,13.0,"387,578",43.0,"3,133,286","2,751","283,563","459,379",,0
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,24,98,582,2,73,135,,Minor,48,44,42,12,2,11,3,I Wanna Be Yours,AM,Arctic Monkeys,1/1/2013,GBCEL1300373,"3,597",22.6,"2,185,240,293","277,753","129,062,801",86.0,"109,538,379","1,268,458","2,636","16,502,076","105,020,737",,39.0,"2,746",,36.0,"2,608,421",35.0,"38,918,532","20,659",,"4,280,207",,0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,32,11,139,133,F,Minor,85,81,67,26,0,12,5,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55 - Single",Bizarrap,5/31/2023,UYB282301034,456,72.2,"434,019,386","47,202","14,298,402",70.0,"350,630,590","4,153,653",,,,"1,145,717,172",48.0,"7,265",122,7.0,"79,313",33.0,"19,034,872","5,506",,"647,350",,1
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198.0,"1,391,688,322","163,876","130,963,116",77.0,"902,742,581","8,099,187",599,"48,035","2,857,920","750,030,685",316.0,"1,107,265",,112.0,"11,937,930",146.0,"52,073,859","41,487","5,820,026","3,521,951",,0
