track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,97,Major,64,51,63,12,0,19,5,Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161.8,"1,563,224,246","117,005","97,456,780",80.0,203259285.0,3482508.0,1302967.0,376660493.0,3864505972.0
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,180,Minor,72,61,63,67,0,9,28,TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,"1,024,381,758","78,554","69,319,589",78.0,1102289596.0,8953293.0,457111.0,15048444.0,248168852.0
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,120,Major,81,63,68,11,0,11,4,Los del Espacio,Los del Espacio - Single,LIT killah,6/1/2023,USWL12300725,336,83.3,"373,898,429","53,671","24,287,193",72.0,314467618.0,1775081.0,782114.0,148537760.0,1715842070.0
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,150,Major,61,39,73,37,0,11,3,Frï¿½ï¿½gil (feat. Grupo Front,Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia,4/7/2023,USQX92302369,765,55.4,"432,988,420","32,294","28,454,994",67.0,194658217.0,1261625.0,633280.0,45475847.0,750998497.0
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,96,Major,75,57,68,9,0,13,6,Blank Space,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431309,463,71.5,"1,829,733,410","157,465","49,558,504",76.0,3624778617.0,16916871.0,104685.0,38075232.0,346032878.0
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,95,Major,60,48,79,0,0,12,4,Style,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431319,"3,179",24.4,"1,216,966,135","92,577","30,252,887",74.0,848555837.0,4212951.0,71954.0,63817390.0,428073160.0
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,125,Minor,79,96,85,27,0,11,6,TQM,TQM - Single,Fuerza Regida,5/19/2023,QZ9QQ2300371,869,51.8,"497,682,165","40,368","24,948,673",70.0,143949357.0,729741.0,236300.0,73808507.0,824220151.0
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,144,Minor,56,84,65,23,0,10,6,El Azul,El Azul - Single,Junior H,2/10/2023,QZ9QQ2300115,"1,206",43.1,"684,103,586","42,304","22,784,674",76.0,125144381.0,583066.0,433800.0,68202730.0,622470844.0
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,90,Major,76,91,50,54,0,7,5,Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,USUM71814888,116,143.9,"3,358,704,125","392,082","123,917,182",79.0,2763188773.0,19410390.0,2714134.0,178829434.0,1597453878.0
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,128,Minor,56,38,97,4,0,35,4,I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209.6,"1,658,229,422","262,248","239,957,538",83.0,466080689.0,4324989.0,728093.0,54258768.0,1051836430.0
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,144,Major,77,75,58,52,0,23,25,Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,6/23/2023,USAT22306213,630,60.6,"470,659,154","53,386","35,912,569",71.0,143805714.0,2019310.0,307562.0,119653263.0,1220529181.0
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,122,Major,67,49,64,10,0,10,3,Angels Like You,Plastic Hearts,Miley Cyrus,11/27/2020,USRC12003754,"1,697",35.5,"940,796,773","89,447","36,703,975",77.0,165497158.0,1629090.0,1780416.0,377871352.0,3248071918.0
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,140,Major,71,82,81,11,0,6,5,I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,USUM72206227,127,136.2,"1,607,421,145","212,406","160,444,270",83.0,409785349.0,3326477.0,247865.0,155593087.0,1825552705.0
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,134,Minor,59,51,52,9,0,15,7,Die For You,SMITHEREENS,Joji,11/4/2022,USWB12203732,"1,412",39.4,"363,300,065","74,276","30,821,017",71.0,77291326.0,1109516.0,119854.0,41196230.0,352701529.0
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,186,Major,68,49,59,16,0,13,28,Starboy,Starboy,The Weeknd,9/22/2016,USUG11600976,265,95.7,"3,291,262,413","366,133","98,022,646",84.0,2829990867.0,14968547.0,262780.0,52707882.0,375498232.0
